exp_id,max_frames,weights_fn,tracker_type,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,gmc_method,proximity_thresh,appearance_thresh,with_reid,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),Dets,GT_Dets,IDs,GT_IDs
ow_dp,10000,best-organizers.pt,botsort,0.9,                    0.1,0.6,30,0.8,                    sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_dp,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_pt04,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_pt05,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_pt06,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_at020,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_at025,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_at030,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_wrF,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_dp,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_pt04,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.4,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_pt05,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_pt06,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.6,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_at020,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.2,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_at025,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_at030,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.3,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_wrF,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,False,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
ow_wrT,10000,best-organizers.pt,botsort,0.9,0.1,0.6,30,0.8,sparseOptFlow,0.5,0.25,True,40.718,93.148,17.814,95.303,95.657,22.982,55.253,93.927,41.202,43.099,93.365,40.24,99630,100000,56,10
