exp_id,max_frames,weights_fn,tracker_type,max_age,min_hits,iou_threshold
sortma2mh0it0060,150,best-organizers.pt,sort,2,0,0.06
sortma2mh0it0060,10000,best-organizers.pt,sort,2,0,0.06
sortma2mh0it0061,10000,best-organizers.pt,sort,2,0,0.061
sortma2mh0it0062,10000,best-organizers.pt,sort,2,0,0.062
sortma2mh0it0063,10000,best-organizers.pt,sort,2,0,0.063
sortma2mh0it0064,10000,best-organizers.pt,sort,2,0,0.064
sortma2mh0it0065,10000,best-organizers.pt,sort,2,0,0.065
sortma2mh0it0066,10000,best-organizers.pt,sort,2,0,0.066
sortma2mh0it0067,10000,best-organizers.pt,sort,2,0,0.067
sortma2mh0it0068,10000,best-organizers.pt,sort,2,0,0.068
sortma2mh0it0069,10000,best-organizers.pt,sort,2,0,0.069
sortma2mh0it0070,10000,best-organizers.pt,sort,2,0,0.07
sortma2mh0it0071,10000,best-organizers.pt,sort,2,0,0.071
sortma2mh0it0072,10000,best-organizers.pt,sort,2,0,0.072
sortma2mh0it0073,10000,best-organizers.pt,sort,2,0,0.073
sortma2mh0it0074,10000,best-organizers.pt,sort,2,0,0.074
sortma2mh0it0075,10000,best-organizers.pt,sort,2,0,0.075
sortma2mh0it0076,10000,best-organizers.pt,sort,2,0,0.076
sortma2mh0it0077,10000,best-organizers.pt,sort,2,0,0.077
sortma2mh0it0078,10000,best-organizers.pt,sort,2,0,0.078
sortma2mh0it0079,10000,best-organizers.pt,sort,2,0,0.079
sortma2mh0it0080,10000,best-organizers.pt,sort,2,0,0.08
